store_name,sale_dollars,sale_dollars_percentage
Hy-Vee Food Store / Fairfield,21.78,0.03554979272414243
Hilltop Grocery,18.9,0.030848993686239296
Hy-Vee Drugstore / Council Bluffs,17.82,0.02908619404702562
Nash Finch / Wholesale Food,45.72,0.0746251847267122
Hy-Vee #3 / BDI / Des Moines,1755.6,2.8655287468551167
Hy-Vee Food Store / Marshalltown,75.54,0.12329804143166755
Hy-Vee Food Store #2 / Waterloo,1985.4,3.2406133367544707
Pump N Pak,21.0,0.034276659651376995
Hy-Vee Food Store / Fort Dodge,1563.84,2.5525338775814
Osage Payless Foods,324.0,0.5288398917641022
Hy-Vee Wine and Spirits / Storm Lake,33.0,0.05386332230930671
Bootleggin' Barzini's Fin,6.75,0.011017497745085463
I-80 Liquor / Council Bluffs,174.24,0.28439834179313944
Central City 2,1709.4,2.7901200956220875
Burlington Shell,206.64,0.3372823309695496
Shop N Save #1 / Mlk Pkwy,116.64,0.1903823610350768
Fareway Stores #067 / Evansdale,1349.4,2.202520215884196
Fareway Stores #409 / Carroll,32.52,0.053079855802989524
Depot Liquor & Grocery,112.47,0.18357599576144623
Wilkie Liquors,4870.8,7.95022637285367
Hy-Vee #3 / BDI / Des Moines,1881.0,3.0702093716304826
East Side Liquor and Groceries,206.64,0.3372823309695496
Speedy Gas N Shop,68.18,0.11128488833480399
Wilkie Liquors,6750.0,11.017497745085462
Hy-Vee #7 / Cedar Rapids,486.0,0.7932598376461533
Famous Liquors,17.98,0.02934734954913135
Sam's Club 6432 / Sioux City,522.72,0.8531950253794184
Hy-Vee Wine and Spirits / Iowa City,488.52,0.7973730368043185
Hy-Vee Food Store #1 / Mason City,630.24,1.0286915227944684
Shop N Save #1 / Mlk Pkwy,70.56,0.1151695764286267
Sam's Club 6568 / Ames,3913.92,6.388385892510355
Quik Stop  /  Burlington,81.6,0.13318930607392204
Sam's Club 6432 / Sioux City,720.72,1.1763749592352586
Hy-Vee Wine and Spirits / Spirit Lake,324.96,0.5304068247767366
Hy-Vee / Waukee,1518.72,2.478888025987584
Hy-Vee Wine and Spirits / WDM,3372.3,5.504341873444697
Central City 2,653.4,1.0664937817242728
New Star Liquor / W 4th S / Waterloo,33.24,0.0542550555624653
Sid's Beverage Shop,41.55,0.06781881945308162
Hy-Vee Food Store / Johnston,64.32,0.10498451184650325
Fareway Stores #153  /  W Des Moines,1349.28,2.202324349257617
Hy-Vee Food Store #1 / Mason City,270.0,0.4406999098034185
Liquor Locker,37.5,0.06120832080603035
Fareway Stores #412 / Oelwein,105.04,0.17144858713241143
Double D Liquor Store,9.74,0.015897841190686282
Hy-Vee #3 / BDI / Des Moines,487.44,0.7956102371651048
Hy-Vee Food and Drug / Clinton,282.24,0.4606783057145068
New Star Liquor / W 4th S / Waterloo,47.25,0.07712248421559824
Hy-Vee Food Store #2 / Waterloo,6.75,0.011017497745085463
Fareway Stores #138 / Pleasant Hill,2295.0,3.7459492333290574
Hy-Vee Food Store / Carroll,637.74,1.0409331869556746
Hy-Vee Wine and Spirits / Hubbell,70.56,0.1151695764286267
Cedar Ridge Vineyards,3712.5,6.059623759797004
Hy-Vee Wine and Spirits / Iowa City,217.8,0.35549792724142426
Hy-Vee Wine and Spirits / Atlantic,23.04,0.037606392303225045
Hy-Vee Food Store #3 / Waterloo,807.84,1.3185741301318281
Sam's Club 6432 / Sioux City,5397.6,8.810080863536784
"Ray's Supermarket, Inc.",206.64,0.3372823309695496
Fareway Stores #597 / Creston,71.25,0.11629580953145767
Food Land Super Markets,13.26,0.02164326223701233
Hy-Vee Food Store / Carroll,99.72,0.1627651666873959
Logan Convenience Store,63.36,0.10341757883386889
Quicker Liquor Store,237.24,0.3872283207472704
Tobacco Hut #14 / Council Bluffs,33.24,0.0542550555624653
Fareway Stores #983 / Grimes,1296.0,2.1153595670564087
Tequila's Liquor Store,413.28,0.6745646619390993
Sam's Club 6514 / Waterloo,5199.36,8.486509196427786
Hy-Vee Wine and Spirits / Waterloo,7.0,0.011425553217125666
CVS Pharmacy #8526 / Cedar Rapids,42.0,0.06855331930275399
The Ox & Wren Spirits and Gifts,75.12,0.12261250823864
Hy-Vee Food Store / Coralville,504.0,0.8226398316330479
"Iowa Street Market, Inc.",50.36,0.08219869428777836
Sam's Club 8162 / Cedar Rapids,691.2,1.1281917690967516
Central City 2,217.8,0.35549792724142426
